@relation Facebook-metrics

@attribute 'Page total likes' 														NUMERIC
@attribute Type 																	{Photo, Status, Link, Video}
@attribute Category 																NUMERIC
@attribute 'Post Month' 															NUMERIC
@attribute 'Post Weekday' 															NUMERIC
@attribute 'Post Hour' 																NUMERIC
@attribute Paid 																	NUMERIC
@attribute Class																	{}

@data
%Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Class
139441,Photo,2,12,4,3,0,?
139441,Status,2,12,3,10,0,?
139441,Photo,3,12,3,3,0,?
139441,Photo,2,12,2,10,1,?
139441,Photo,2,12,2,3,0,?
139441,Status,2,12,1,9,0,?
139441,Photo,3,12,1,3,1,?
139441,Photo,3,12,7,9,1,?
139441,Status,2,12,7,3,0,?
139441,Photo,3,12,6,10,0,?
139441,Status,2,12,5,10,0,?
139441,Photo,2,12,5,10,0,?
139441,Photo,2,12,5,10,0,?
139441,Photo,2,12,5,3,0,?
138414,Photo,2,12,4,5,1,?
138414,Status,2,12,3,10,0,?
138414,Photo,3,12,3,3,0,?
138414,Photo,1,12,2,12,1,?
138414,Status,3,12,2,3,0,?
138414,Photo,3,12,1,11,0,?
138414,Photo,2,12,1,3,0,?
138414,Photo,1,12,7,10,0,?
138414,Link,1,12,7,10,0,?
138414,Photo,3,12,7,3,0,?
138414,Status,2,12,6,10,0,?
138458,Status,2,12,6,3,0,?
138458,Status,2,12,5,11,0,?
138458,Photo,3,12,5,3,0,?
138895,Photo,2,12,5,3,0,?
138895,Video,1,12,4,11,1,?
138895,Photo,2,12,4,2,0,?
138895,Photo,2,12,3,10,0,?
138895,Photo,3,12,3,3,0,?
138895,Photo,3,12,2,9,0,?
138895,Photo,1,12,2,3,0,?
138895,Photo,2,12,1,11,0,?
138895,Photo,3,12,1,3,0,?
138895,Photo,1,12,7,10,1,?
138895,Status,2,12,7,9,0,?
138895,Photo,1,12,7,3,0,?
138895,Status,2,12,6,11,0,?
138895,Link,1,12,6,3,1,?
138353,Photo,1,12,5,10,0,?
138353,Link,1,12,5,3,1,?
138353,Photo,1,12,4,11,0,?
138353,Link,1,12,4,3,1,?
138353,Status,1,12,3,11,0,?
138353,Link,1,12,3,2,0,?
138353,Photo,1,12,2,11,0,?
138353,Link,1,12,2,2,0,?
138353,Photo,2,11,1,9,0,?
138329,Photo,1,11,1,3,1,?
138329,Photo,1,11,7,9,0,?
138329,Photo,1,11,7,3,0,?
138329,Photo,1,11,6,10,0,?
138329,Video,1,11,6,2,1,?
138329,Photo,1,11,5,11,0,?
138329,Photo,1,11,5,3,0,?
138329,Photo,1,11,4,10,0,?
138329,Photo,1,11,4,3,1,?
138185,Photo,1,11,3,11,1,?
138185,Photo,1,11,3,2,1,?
138185,Photo,1,11,2,10,1,?
138185,Photo,1,11,2,3,1,?
138185,Photo,1,11,1,10,0,?
138185,Photo,1,11,1,3,0,?
138185,Photo,1,11,7,11,0,?
138185,Photo,1,11,7,3,1,?
138185,Photo,1,11,6,11,0,?
137893,Photo,1,11,6,3,0,?
137893,Photo,1,11,5,10,1,?
137893,Video,1,11,5,3,1,?
137893,Status,3,11,4,11,0,?
137893,Photo,1,11,4,2,1,?
137893,Video,1,11,3,11,0,?
137893,Photo,1,11,3,2,1,?
137893,Photo,1,11,3,2,0,?
137177,Photo,1,11,1,10,0,?
137177,Photo,2,11,1,3,0,?
137177,Photo,1,11,7,12,0,?
137177,Status,2,11,7,3,0,?
137177,Photo,3,11,6,10,0,?
137177,Photo,1,11,6,3,0,?
137177,Photo,3,11,5,10,1,?
137177,Status,3,11,5,2,0,?
137177,Photo,1,11,4,9,1,?
137177,Link,1,11,4,3,0,?
137177,Photo,3,11,3,10,0,?
137177,Photo,1,11,3,3,0,?
137059,Photo,1,11,2,11,1,?
137059,Photo,1,11,2,3,0,?
137059,Photo,2,11,1,9,0,?
137059,Photo,3,11,1,3,0,?
137059,Photo,3,11,7,9,0,?
137059,Photo,2,11,7,4,0,?
137059,Photo,3,10,6,10,0,?
137059,Photo,1,10,6,3,0,?
137059,Photo,2,10,5,11,0,?
137020,Status,2,10,5,3,1,?
137020,Photo,1,10,4,10,0,?
137020,Photo,1,10,4,9,1,?
137020,Photo,2,10,4,3,0,?
137020,Photo,3,10,3,10,0,?
137020,Photo,1,10,3,4,0,?
137020,Photo,1,10,2,11,1,?
137020,Photo,1,10,2,4,0,?
137020,Photo,3,10,1,11,0,?
136736,Status,2,10,1,4,0,?
136736,Photo,3,10,7,9,0,?
136736,Status,2,10,7,3,0,?
136736,Photo,1,10,6,10,0,?
136736,Photo,1,10,6,8,0,?
136736,Photo,2,10,6,4,0,?
136642,Photo,2,10,1,3,1,?
136642,Photo,1,10,7,13,0,?
136642,Photo,1,10,7,12,1,?
136642,Photo,1,10,7,12,0,?
136642,Photo,1,10,7,11,0,?
136642,Photo,1,10,7,10,0,?
136393,Photo,1,10,7,10,0,?
136393,Photo,1,10,7,9,0,?
136393,Status,2,10,7,9,0,?
136393,Photo,1,10,7,8,0,?
136393,Photo,1,10,7,7,0,?
136393,Photo,1,10,7,6,0,?
136393,Photo,1,10,7,5,0,?
136393,Photo,3,10,7,3,0,?
136393,Photo,1,10,6,13,0,?
136393,Photo,1,10,6,13,0,?
136393,Photo,1,10,6,12,0,?
136393,Photo,1,10,6,11,0,?
136393,Photo,1,10,6,9,0,?
136393,Photo,1,10,6,9,0,?
136393,Photo,1,10,6,8,0,?
136393,Photo,1,10,6,6,0,?
136393,Photo,1,10,6,2,0,?
136393,Link,1,10,5,10,0,?
136013,Photo,1,10,5,8,0,?
136013,Status,2,10,5,3,0,?
136013,Photo,1,10,4,10,1,?
136013,Link,1,10,4,3,0,?
136013,Status,3,10,3,10,0,?
136013,Status,2,10,3,2,1,?
136013,Photo,3,10,2,10,1,?
136013,Photo,1,10,2,3,1,?
136013,Photo,1,10,1,10,1,?
136013,Photo,3,10,1,3,0,?
135713,Photo,3,10,7,10,0,?
135713,Status,2,10,7,4,0,?
135713,Link,1,10,6,11,1,?
135713,Photo,1,10,6,4,0,?
135713,Photo,2,10,5,11,0,?
135713,Photo,2,10,5,4,1,?
135713,Photo,1,10,4,10,0,?
135713,Photo,2,10,4,1,0,?
135700,Photo,2,9,3,7,0,?
135700,Photo,2,9,2,11,0,?
135700,Photo,3,9,2,2,0,?
135700,Photo,2,9,1,10,0,?
135617,Photo,2,9,1,3,1,?
135617,Photo,3,9,7,9,0,?
135617,Photo,2,9,7,3,0,?
135617,Photo,3,9,6,10,0,?
135617,Status,2,9,6,4,0,?
135428,Photo,1,9,5,10,0,?
135428,Photo,2,9,5,3,1,?
135428,Photo,1,9,4,10,1,?
135428,Photo,3,9,4,2,1,?
135428,Photo,1,9,3,10,0,?
135428,Photo,2,9,3,2,1,?
135195,Photo,3,9,2,9,0,?
135195,Photo,1,9,2,2,0,?
135195,Status,2,9,1,10,0,?
135195,Photo,1,9,1,4,0,?
135195,Photo,2,9,7,3,0,?
135195,Status,2,9,6,10,1,?
135195,Photo,3,9,6,3,1,?
135195,Photo,1,9,5,11,0,?
135195,Photo,2,9,5,2,0,?
135195,Photo,2,9,4,10,0,?
134879,Status,2,9,4,4,1,?
134879,Photo,1,9,3,10,0,?
134879,Photo,3,9,3,2,1,?
134879,Video,1,9,2,10,0,?
134879,Photo,2,9,2,3,0,?
134879,Photo,1,9,1,10,0,?
134879,Photo,2,9,1,6,0,?
134879,Photo,2,9,7,10,0,?
134879,Photo,3,9,7,4,1,?
133679,Photo,2,9,2,10,0,?
133679,Photo,3,9,2,3,1,?
133679,Photo,3,8,1,10,0,?
133679,Photo,2,8,1,4,0,?
133594,Photo,2,8,7,10,1,?
133594,Photo,1,8,7,3,0,?
133594,Photo,2,8,6,10,0,?
133594,Photo,1,8,6,8,0,?
133594,Photo,2,8,5,13,0,?
133451,Photo,1,8,4,9,1,?
132817,Photo,3,8,4,10,0,?
132817,Photo,2,8,4,3,1,?
132817,Photo,1,8,3,9,0,?
132817,Status,2,8,3,2,1,?
132817,Photo,3,8,2,10,0,?
132817,Photo,3,8,2,3,0,?
132201,Photo,1,8,1,12,1,?
132201,Photo,1,8,1,3,0,?
132201,Photo,2,8,7,10,0,?
132201,Photo,3,8,7,3,0,?
132201,Photo,2,8,6,10,1,?
132201,Photo,3,8,6,3,1,?
132201,Photo,3,8,5,10,0,?
132201,Photo,2,8,5,1,0,?
132201,Photo,3,8,4,11,1,?
132201,Photo,3,8,4,3,1,?
131956,Photo,1,8,3,10,0,?
131956,Photo,2,8,3,4,0,?
131956,Status,2,8,2,12,0,?
