@relation Facebook-metrics-weka.filters.unsupervised.attribute.Remove-R9-20

@attribute 'Page total likes' numeric
@attribute Type {Photo,Status,Link,Video}
@attribute Category numeric
@attribute 'Post Month' numeric
@attribute 'Post Weekday' numeric
@attribute 'Post Hour' numeric
@attribute Paid numeric
@attribute 'Lifetime Post Total Reach' numeric

@data
139441,Photo,2,12,4,3,0,2752
139441,Status,2,12,3,10,0,10460
139441,Photo,3,12,3,3,0,2413
139441,Photo,2,12,2,10,1,50128
139441,Photo,2,12,2,3,0,7244
139441,Status,2,12,1,9,0,10472
139441,Photo,3,12,1,3,1,11692
139441,Photo,3,12,7,9,1,13720
139441,Status,2,12,7,3,0,11844
139441,Photo,3,12,6,10,0,4694
139441,Status,2,12,5,10,0,21744
139441,Photo,2,12,5,10,0,3112
139441,Photo,2,12,5,10,0,2847
139441,Photo,2,12,5,3,0,2549
138414,Photo,2,12,4,5,1,22784
138414,Status,2,12,3,10,0,10060
138414,Photo,3,12,3,3,0,1722
138414,Photo,1,12,2,12,1,53264
138414,Status,3,12,2,3,0,3930
138414,Photo,3,12,1,11,0,1591
138414,Photo,2,12,1,3,0,2848
138414,Photo,1,12,7,10,0,1384
138414,Link,1,12,7,10,0,3454
138414,Photo,3,12,7,3,0,2723
138414,Status,2,12,6,10,0,8488
138458,Status,2,12,6,3,0,8284
138458,Status,2,12,5,11,0,19552
138458,Photo,3,12,5,3,0,2478
138895,Photo,2,12,5,3,0,9560
138895,Video,1,12,4,11,1,36208
138895,Photo,2,12,4,2,0,4940
138895,Photo,2,12,3,10,0,1683
138895,Photo,3,12,3,3,0,5280
138895,Photo,3,12,2,9,0,3002
138895,Photo,1,12,2,3,0,3766
138895,Photo,2,12,1,11,0,4512
138895,Photo,3,12,1,3,0,2690
138895,Photo,1,12,7,10,1,19800
138895,Status,2,12,7,9,0,17576
138895,Photo,1,12,7,3,0,3290
138895,Status,2,12,6,11,0,13280
138895,Link,1,12,6,3,1,18480
138353,Photo,1,12,5,10,0,7268
138353,Link,1,12,5,3,1,2645
138353,Photo,1,12,4,11,0,4284
138353,Link,1,12,4,3,1,7968
138353,Status,1,12,3,11,0,16576
138353,Link,1,12,3,2,0,1925
138353,Photo,1,12,2,11,0,3786
138353,Link,1,12,2,2,0,1536
138353,Photo,2,11,1,9,0,1728
138329,Photo,1,11,1,3,1,25248
138329,Photo,1,11,7,9,0,4894
138329,Photo,1,11,7,3,0,2935
138329,Photo,1,11,6,10,0,2425
138329,Video,1,11,6,2,1,16416
138329,Photo,1,11,5,11,0,5812
138329,Photo,1,11,5,3,0,2545
138329,Photo,1,11,4,10,0,2257
138329,Photo,1,11,4,3,1,27072
138185,Photo,1,11,3,11,1,10940
138185,Photo,1,11,3,2,1,50912
138185,Photo,1,11,2,10,1,28752
138185,Photo,1,11,2,3,1,27216
138185,Photo,1,11,1,10,0,2352
138185,Photo,1,11,1,3,0,3416
138185,Photo,1,11,7,11,0,2149
138185,Photo,1,11,7,3,1,53456
138185,Photo,1,11,6,11,0,2168
